Source (A),Source (B),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
class,text,1,92.84,50.00,1.00,25.77,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pos,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is,20,15.01,50.00,3.37,25.77,10.00,0.00,75.00,65.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,10.00,30.00,5.00,5.00,0.00,35.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,35.00,5.00,10.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
Pos,@Apple will be adding more carrier support to the iPhone 4S (just announced),13,82.00,50.00,1.40,99.00,13.00,23.08,69.23,38.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,7.69,15.38,7.69,0.00,0.00,23.08,7.69,7.69,0.00,0.00,15.38,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,15.38,7.69,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,7.69
Pos,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY,23,99.00,90.38,1.00,99.00,7.67,13.04,60.87,21.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,8.70,4.35,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,4.35,13.04,13.04,0.00,0.00,0.00,0.00,13.04,0.00,4.35,0.00,4.35,4.35,0.00,0.00,0.00,4.35,0.00,0.00,4.35,4.35,0.00,0.00,4.35,0.00,0.00,0.00,0.00,8.70,4.35,0.00,4.35,0.00,0.00,0.00,4.35,0.00,4.35,0.00,4.35,0.00,0.00,8.70,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,39.13,8.70,0.00,0.00,0.00,0.00,4.35,4.35,0.00,4.35,0.00,17.39
Pos,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!,15,69.57,97.69,1.00,99.00,7.50,0.00,73.33,53.33,26.67,20.00,6.67,0.00,13.33,0.00,0.00,6.67,0.00,20.00,0.00,6.67,0.00,0.00,13.33,6.67,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,26.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,13.33
Pos,I just realized that the reason I got into twitter was ios5 thanks @apple,14,47.35,23.75,99.00,99.00,14.00,14.29,85.71,50.00,21.43,14.29,14.29,0.00,0.00,0.00,0.00,7.14,7.14,7.14,7.14,7.14,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,14.29,14.29,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,7.14,0.00,0.00,7.14,0.00,21.43,7.14,0.00,7.14,0.00,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14
Pos,I'm a current @Blackberry user little bit disappointed with it! Should I move to @Android or @Apple @iphone,18,60.80,4.80,87.07,1.00,9.00,22.22,72.22,44.44,16.67,11.11,11.11,0.00,0.00,0.00,0.00,5.56,5.56,11.11,11.11,0.00,5.56,0.00,16.67,0.00,0.00,0.00,0.00,5.56,5.56,0.00,5.56,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,5.56,5.56,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,5.56,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,5.56,0.00,22.22
Pos,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace,28,67.14,63.97,13.15,87.20,9.33,10.71,67.86,39.29,10.71,3.57,3.57,0.00,0.00,0.00,0.00,7.14,7.14,7.14,7.14,7.14,3.57,0.00,14.29,10.71,3.57,0.00,3.57,0.00,10.71,7.14,3.57,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,3.57,3.57,0.00,0.00,0.00,0.00,0.00,7.14,0.00,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,25.00,7.14,0.00,0.00,0.00,0.00,3.57,0.00,0.00,0.00,0.00,14.29
Pos,Great up close & personal event @Apple tonight in Regent St store!,11,99.00,81.84,99.00,99.00,11.00,18.18,72.73,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,18.18,9.09,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,9.09,9.09,0.00,0.00,0.00,9.09,45.45,0.00,27.27,18.18,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,18.18
Pos,From which companies do you experience the best customer service aside from @zappos and @apple?,15,83.85,90.87,1.00,99.00,15.00,26.67,80.00,46.67,13.33,6.67,0.00,0.00,6.67,0.00,0.00,6.67,6.67,13.33,6.67,0.00,6.67,0.00,6.67,6.67,6.67,6.67,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,6.67,6.67,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,13.33
